6,16,17,14,7,0,0,0,0,54,<5month
6,60,27,27,18,9,0,6,44,191,5 month - 1 year
7,78,71,9,12,21,0,0,0,191,5 month - 1 year
7,107,73,48,26,6,0,0,0,260,> 1 year
7,120,185,45,166,54,0,0,0,570,> 1 year
7,187,201,191,97,5,0,0,0,681,> 2 years
7,50,26,125,60,0,0,0,0,261,> 1 year
7,0,180,268,0,311,0,0,224,983,> 2 years
9,210,26,100,115,0,0,0,0,451,> 1 year
9,276,0,47,443,5,0,0,0,771,> 2 years
5,9,45,7,0,0,0,0,16,77,5 month - 1 year
5,8,54,8,0,4,0,0,18,92,5 month - 1 year
5,85,72,13,5,27,0,3,39,244,> 1 year
5,65,120,36,21,11,0,5,63,321,> 1 year
6,124,35,24,87,26,0,4,65,365,> 1 year
6,44,65,0,3,24,0,0,4,140,5 month - 1 year
6,49,61,0,16,42,0,0,0,168,5 month - 1 year
6,172,26,0,9,60,0,0,0,267,> 1 year
6,125,16,0,95,68,0,0,0,304,> 1 year
6,0,212,92,15,77,0,0,15,411,> 1 year
9,45,91,0,0,22,0,0,0,158,5 month - 1 year
9,72,78,31,0,0,0,0,0,181,5 month - 1 year
9,118,18,76,26,0,0,0,0,238,> 1 year
9,110,115,1,0,24,0,0,0,250,> 1 year
9,131,106,0,9,17,0,0,0,263,> 1 year
9,23,30,46,81,5,15,8,84,292,> 1 year
9,48,180,17,20,49,0,6,8,328,> 1 year
9,194,119,10,5,0,25,2,0,355,> 1 year
9,113,171,28,7,0,52,0,12,383,> 1 year
9,185,147,5,76,22,0,0,0,435,> 1 year
9,196,171,7,98,78,0,8,4,562,> 1 year
5,23,6,0,0,0,0,0,0,29,<5month
5,34,12,0,13,0,0,0,0,59,<5month
5,45,51,11,3,0,0,0,7,117,5 month - 1 year
5,67,10,13,39,24,0,0,0,153,5 month - 1 year
5,93,63,14,6,59,0,0,3,238,> 1 year
5,83,91,43,5,9,0,0,22,253,> 1 year
5,125,74,63,3,14,0,0,11,290,> 1 year
5,191,110,84,85,0,3,0,29,502,> 1 year
5,112,126,239,502,0,0,0,69,1048,> 2 years
6,42,17,0,1,0,0,0,0,60,<5month
6,65,30,9,0,0,0,0,0,104,5 month - 1 year
6,69,35,4,3,0,0,0,0,111,5 month - 1 year
6,97,36,2,0,0,0,0,0,135,5 month - 1 year
6,65,105,75,67,115,0,0,0,427,> 1 year
6,205,45,133,201,23,0,0,33,640,> 1 year
6,281,78,43,155,190,0,0,27,774,> 2 years
6,203,297,210,146,29,0,0,23,908,> 2 years
6,16,17,14,7,0,0,0,0,54,<5month
6,57,15,4,30,35,0,0,0,141,5 month - 1 year
6,41,76,20,33,16,0,0,0,186,5 month - 1 year
6,50,62,42,20,42,0,0,0,216,5 month - 1 year
6,69,93,17,41,0,0,0,0,220,5 month - 1 year
6,71,98,0,7,64,0,0,0,240,> 1 year
6,103,51,102,23,0,0,0,0,279,> 1 year
6,33,8,29,175,39,0,0,0,284,> 1 year
6,80,37,27,166,42,0,0,0,352,> 1 year
6,115,136,20,74,30,0,0,0,375,> 1 year
7,29,52,5,0,0,0,0,0,86,5 month - 1 year
7,50,31,5,2,0,0,0,0,88,5 month - 1 year
7,50,37,6,0,0,0,0,0,93,5 month - 1 year
7,61,27,2,4,0,0,0,0,94,5 month - 1 year
7,41,31,31,4,0,0,0,0,107,5 month - 1 year
7,58,60,3,2,0,0,0,0,123,5 month - 1 year
7,42,67,14,16,0,0,0,0,139,5 month - 1 year
7,40,12,9,0,0,0,0,0,61,<5month
7,50,48,23,13,0,0,0,2,136,5 month - 1 year
7,59,40,8,14,26,0,0,0,147,5 month - 1 year
7,73,46,26,3,0,0,0,0,148,5 month - 1 year
7,32,92,32,4,0,0,0,0,160,5 month - 1 year
7,15,41,26,76,14,0,0,0,172,5 month - 1 year
7,23,47,40,54,0,0,0,33,197,5 month - 1 year
7,26,43,61,176,0,0,0,4,310,> 1 year
7,35,95,128,68,0,0,0,0,326,> 1 year
7,43,130,109,128,0,0,0,0,410,> 1 year
8,77,59,40,21,0,0,0,0,197,5 month - 1 year
8,80,80,42,12,0,0,0,0,214,5 month - 1 year
8,58,49,61,55,0,0,0,0,223,5 month - 1 year
8,70,133,27,5,0,0,0,0,235,> 1 year
8,96,126,33,38,0,0,0,0,293,> 1 year
8,112,110,38,37,0,0,0,0,297,> 1 year
8,51,66,151,60,0,0,0,0,328,> 1 year
8,46,169,77,42,0,0,0,0,334,> 1 year
8,186,160,51,33,0,0,0,0,430,> 1 year
8,92,103,210,102,0,0,0,0,507,> 1 year
8,51,67,60,80,8,9,1,0,276,> 1 year
8,111,45,86,77,0,0,0,0,319,> 1 year
8,0,79,197,81,0,2,0,0,359,> 1 year
8,157,77,68,99,15,5,0,0,421,> 1 year
8,37,97,137,124,24,9,0,0,428,> 1 year
8,195,93,105,77,27,11,12,0,520,> 1 year
8,156,210,141,64,57,65,0,0,693,> 2 years
8,25,55,291,332,0,17,13,0,733,> 2 years
8,209,251,123,126,42,19,0,0,770,> 2 years
8,186,57,256,288,2,6,8,0,803,> 2 years
8,57,33,3,4,0,19,0,0,116,5 month - 1 year
8,64,26,34,12,0,0,0,0,136,5 month - 1 year
8,58,26,24,27,0,0,0,5,140,5 month - 1 year
8,55,24,20,34,0,0,0,11,144,5 month - 1 year
8,81,37,37,16,0,7,5,0,183,5 month - 1 year
8,93,72,29,0,0,8,6,0,208,5 month - 1 year
8,66,48,61,43,0,0,8,0,226,5 month - 1 year
8,84,56,55,32,0,6,15,0,248,> 1 year
8,168,60,84,29,0,17,9,0,367,> 1 year
8,188,25,194,62,0,5,55,0,529,> 1 year
9,20,5,14,9,0,0,0,0,48,<5month
9,20,9,16,4,0,0,0,0,49,<5month
9,28,9,10,9,0,0,0,0,56,<5month
9,44,7,29,2,0,0,0,0,82,5 month - 1 year
9,54,18,34,12,0,0,0,0,118,5 month - 1 year
9,65,22,17,21,0,0,0,0,125,5 month - 1 year
9,91,66,25,13,20,0,0,0,215,5 month - 1 year
9,88,134,47,70,0,0,0,4,343,> 1 year
9,206,93,82,81,49,0,9,0,520,> 1 year
9,159,176,169,29,0,18,19,12,582,> 1 year
9,50,31,36,5,0,0,0,0,122,5 month - 1 year
9,41,8,57,50,0,1,9,0,166,5 month - 1 year
9,91,31,30,15,0,0,0,0,167,5 month - 1 year
9,51,11,57,42,3,0,10,0,174,5 month - 1 year
9,75,13,53,31,0,0,5,0,177,5 month - 1 year
9,53,20,36,95,3,0,0,0,207,5 month - 1 year
9,91,55,35,37,0,0,0,0,218,5 month - 1 year
9,82,25,74,69,0,0,6,0,256,> 1 year
9,57,35,108,82,72,8,6,0,368,> 1 year
9,139,23,136,72,0,0,37,0,407,> 1 year
6,59,136,45,22,10,0,6,74,352,> 1 year
6,131,10,0,107,69,0,0,0,317,> 1 year
6,164,60,88,29,0,15,11,0,367,> 1 year
6,92,24,64,68,0,0,6,0,254,> 1 year
6,98,33,23,13,0,0,0,0,167,5 month - 1 year
6,215,42,126,203,21,0,0,33,640,> 1 year
6,123,36,34,77,27,0,10,58,365,> 1 year
6,40,184,21,21,48,0,6,8,328,> 1 year
6,96,33,6,0,0,0,0,0,135,5 month - 1 year
6,39,71,21,34,21,0,0,0,186,5 month - 1 year
